bill_number,session,session_type,primary_sponsor,cosponsors,outchamber_sponsors,status,summary,bill_url
sb0007,2023,RS,Jacque,Ballweg; Cowles; Spreitzer; Wanggaard,Sortwell; Goeben; Shankland; Brandtjen; Brooks; Cabrera; Knodl; Moses; Murphy; Rozar; Subeck; Tittl; Tusler; Wichgers; Vining,S - Enacted into law,"An Act to repeal 118.29 (1) (bm), 118.292 (1g) (b), 118.292 (1g) (bm), 118.2925 (1) (d), 118.2925 (1) (fm), 255.07 (1) (c) and 255.07 (1) (e); to amend 118.29 (2) (a) 2m., 118.292 (1r) (intro.), 118.292 (1r) (a), 118.292 (2) (a), 118.292 (2) (b), 118.2925 (1) (h), 118.2925 (3), 118.2925 (4) (a), (b) and (c), 118.2925 (4m) (a), 118.2925 (4m) (b), 118.2925 (5), 255.07 (2) (a), 255.07 (2) (b), 255.07 (3), 255.07 (4), 255.07 (5) (a) 2., 255.07 (5) (a) 3., 255.07 (6) (a) (intro.), 255.07 (6) (a) 1., 2. and 3., 255.07 (6) (b), 255.07 (6) (d), 255.07 (6) (e), 255.07 (6) (f), 448.03 (2) (q) and 450.11 (4) (a) 5. d.; and to create 118.29 (1) (br), 118.292 (1g) (bg), 118.2925 (1) (dm) and 255.07 (1) (cm) of the statutes;  Relating to: use of epinephrine delivery systems and standing orders for epinephrine. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb7
sb0008,2023,RS,Cowles,Hesselbein; Carpenter; Feyen; James; Larson; Pfaff; Spreitzer; Stafsholt; Taylor; Wanggaard; Wirch,Kurtz; Sinicki; C. Anderson; Andraca; Armstrong; Baldeh; Billings; Brandtjen; Cabrera; Conley; Considine; Donovan; Edming; Emerson; Gustafson; Haywood; Joers; Kitchens; Knodl; Mursau; Novak; Ohnstad; Ortiz-Velez; Petersen; Petryk; Riemer; Rozar; Shankland; Spiros; Stubbs; Subeck; Tittl; Tusler; Wittke; Zimmerman; Ratcliff,S - Available for Scheduling,An Act to create 20.855 (4) (bg) of the statutes;  Relating to:  the University of Wisconsin Missing-in-Action Recovery and Identification Project and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb8
sb0009,2023,RS,Jacque,Ballweg; Cabral-Guevara; Quinn; Wanggaard,Tittl; Penterman; Baldeh; Knodl; Murphy; Mursau; Myers; Rozar; Schraa; Spiros; Tusler; VanderMeer; Wichgers,S - Government Operations,"An Act to amend 40.22 (1), 40.22 (2m) (intro.), 40.22 (2r) (intro.) and 40.22 (3) (intro.); and to create 40.26 (7) of the statutes;  Relating to: rehired teacher annuitants. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb9
sb0010,2023,RS,Jacque,Quinn; Tomczyk,Tittl; Sortwell; Allen; Binsfeld; Goeben; Green; Gundrum; Magnafici; Murphy; Penterman; Schraa; Tusler; Wichgers; Bodden,"S - Mental Health, Substance Abuse Prevention, Children and Families",An Act to amend 119.04 (1); and to create 43.75 and 118.073 of the statutes;  Relating to: pupil or minor access to harmful material in public libraries and to harmful material or offensive material in public schools. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb10
sb0011,2023,RS,Jacque,Spreitzer; Cabral-Guevara; Carpenter; Felzkowski; Hesselbein; James; Roys; Taylor; Wirch,Tittl; Goyke; C. Anderson; J. Anderson; Andraca; Baldeh; Bare; Billings; Cabrera; Clancy; Conley; Considine; Doyle; Emerson; Haywood; Hong; Joers; Krug; Madison; Moore Omokunde; Mursau; Novak; Ohnstad; Ortiz-Velez; Riemer; Rozar; Schraa; Shelton; Sinicki; Snodgrass; Snyder; Spiros; Subeck; Vining; Wichgers,A - Rules,"An Act to amend 20.455 (2) (em) (title), 165.95 (title), 165.95 (2), 165.95 (3) (a), 165.95 (3) (d), 165.95 (3) (e), 165.95 (3) (g), 165.95 (3) (h), 165.95 (3) (j), 165.95 (5) (a), 302.43, 967.11 (1), 967.11 (2) and 973.155 (1m); and to create 165.95 (1) (ae) of the statutes;  Relating to: expanding the treatment alternatives and diversion programs. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb11
sb0012,2023,RS,Wimberger,Ballweg; Cowles; Taylor,Kitchens; Kurtz; Steffen; Armstrong; Duchow; Edming; Green; Macco; Murphy; Mursau; Myers; Novak; Ortiz-Velez; Rozar; Spiros,S - Universities and Revenue,"An Act to amend 36.27 (2) (b) 4., 36.27 (3n) (a) 1m. a., 36.27 (3n) (a) 1m. b., 36.27 (3n) (bd), 36.27 (3p) (a) 1r. (intro.), 38.24 (7) (a) 1m. a., 38.24 (7) (a) 1m. b., 38.24 (7) (bd), 38.24 (8) (a) 1r. (intro.) and 39.49 (2) (a) 2. of the statutes;  Relating to: tuition and fee remission or grants for certain veterans and their dependents enrolled in the University of Wisconsin System, a technical college, or a private nonprofit institution of higher education; and the University of Wisconsin System nonresident tuition exemption for certain veterans. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb12
sb0013,2023,RS,Cowles,Ballweg; Marklein; Nass; Smith,Penterman; O'Connor; Armstrong; Kitchens; Mursau; Spiros,S - Enacted into law,"An Act to repeal 20.320 (1) (sm), 281.59 (1) (as), 281.59 (9) (a) and 281.60; to amend 13.48 (26), 20.370 (4) (mt), 20.370 (9) (mt), 20.505 (1) (v), 20.536 (1) (ka), 25.43 (1) (h), 25.43 (2s) (a) 2., 25.43 (3), 67.12 (12) (a), 281.59 (2) (a), 281.59 (2) (b), 281.59 (3) (a) 1., 281.59 (3) (a) 5., 281.59 (3) (j), 281.59 (9) (am), 281.59 (9) (b) (intro.), 281.59 (9) (b) 1., 281.59 (11) (a), 281.59 (11) (b), 281.59 (11) (c), 281.59 (13s) and 281.59 (14); and to create 281.605 of the statutes;  Relating to: eliminating the land recycling loan program. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb13
sb0014,2023,RS,Cowles,Agard; Cabral-Guevara; Hesselbein; Smith; Spreitzer; Taylor,Kitchens; Billings; C. Anderson; Andraca; Bodden; Cabrera; Conley; Considine; Joers; Mursau; Ratcliff; Rozar; Shankland; Sinicki; Snodgrass; Stubbs; Subeck; Tusler; Vining,S - Financial Institutions and Sporting Heritage,"An Act to amend 27.01 (9) (bn) (title); and to create 20.370 (1) (ed), 27.01 (6m) and 27.01 (9) (bg) of the statutes;  Relating to: fee waivers for state park vehicle admission receipts to parents or guardians of 4th grade pupils and making an appropriation. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb14
sb0015,2023,RS,Jacque,James; Marklein; Taylor; Tomczyk,Tittl; Armstrong; Brandtjen; Gundrum; Murphy; Mursau; Tusler; Wichgers,"S - Mental Health, Substance Abuse Prevention, Children and Families","An Act to repeal 48.433 (3) (a); to renumber and amend 69.14 (3) (c) and 69.15 (6) (b); to consolidate, renumber and amend 48.433 (3) (intro.) and (b); to amend 48.433 (2), 48.433 (8) (a) and 69.22 (1) (b); and to create 69.14 (3) (c) 3., 69.15 (6) (b) 4. and 69.21 (2) (bm) of the statutes;  Relating to: access to an original impounded birth record. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb15
sb0016,2023,RS,Jacque,Ballweg; Carpenter,Murphy; Armstrong; Brandtjen; Donovan; Mursau; Ortiz-Velez; Plumer; Sinicki; Tusler; Wichgers,S - Universities and Revenue,"An Act to amend 36.27 (3n) (a) 1m. a., 36.27 (3n) (a) 1m. b., 36.27 (3n) (b) (intro.), 36.27 (3n) (bd), 36.27 (3n) (bg), 36.27 (3n) (bm), 36.27 (3n) (c), 36.27 (3p) (a) 1r. (intro.), 38.24 (7) (a) 1m. a., 38.24 (7) (a) 1m. b., 38.24 (7) (a) 1p., 38.24 (7) (b) (intro.), 38.24 (7) (bd), 38.24 (7) (bg), 38.24 (7) (bm) and 38.24 (8) (a) 1r. (intro.); and to create 36.27 (3n) (a) 1r. of the statutes;  Relating to: tuition and fee remission for certain veterans and their dependents enrolled in the University of Wisconsin System or a technical college. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb16
sb0017,2023,RS,Jacque,Wanggaard; Carpenter; Hesselbein; Pfaff; Spreitzer,Murphy; Armstrong; Baldeh; Brandtjen; Cabrera; Donovan; Gustafson; Kitchens; Mursau; Ortiz-Velez; Penterman; Pronschinske; Sinicki; Snodgrass; Subeck; Tittl; Tusler; Wichgers; Shankland,"S - Labor, Regulatory Reform, Veterans and Military Affairs","An Act to amend 45.44 (3) (c) (intro.) and 45.51 (2) (a) 1.; and to create 36.27 (2) (b) 5., 36.27 (3p) (a) 1r. g., 38.24 (8) (a) 1r. g. and 45.01 (12) (fm) of the statutes;  Relating to: expanding veterans benefits to individuals who served in Laos in support of the United States during the Vietnam War.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb17
sb0018,2023,RS,Jacque and Taylor,,Wichgers; Myers; Bare; Behnke; Cabrera; Drake; Sinicki; Subeck; Donovan,S - Financial Institutions and Sporting Heritage,An Act to amend 27.01 (9) (bn) (title); and to create 27.01 (9) (bg) of the statutes;  Relating to: fee waivers for state park vehicle admission receipts to pupils with Every Kid Outdoors passes. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb18
sb0019,2023,RS,Jacque,Felzkowski; Nass; Wanggaard; Stafsholt,Murphy; Rettinger; Penterman; Brandtjen; Brooks; Maxey; Mursau; Ortiz-Velez; Rodriguez; Tusler; Wichgers; Zimmerman,S - Universities and Revenue,"An Act to repeal 36.11 (3) (cm) 1. and 3. and 36.31 (1); to amend 36.11 (3) (b), 36.11 (3) (c), 36.11 (3) (cm) 4. and 36.31 (2); and to create 36.11 (3) (bm), 36.31 (1m) and 36.31 (2m) (d) of the statutes;  Relating to: uniform course numbering and the transfer of course credits among technical colleges and University of Wisconsin System schools, and eliminating certain restrictions on the respective educational roles of the University of Wisconsin System and the Technical College System. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb19
sb0020,2023,RS,Stroebel,Cowles; Felzkowski; Marklein,Rodriguez; VanderMeer; Brooks; Kitchens; Knodl; Moses; Mursau; O'Connor; Penterman; Rettinger; Rozar; Schraa; Tittl; Wittke,S - Government Operations,An Act to amend 16.855 (9m) (b) 1. a. of the statutes;  Relating to: qualified bidders on state projects. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb20
sb0021,2023,RS,James,Ballweg; Cowles; Marklein; Roys; Spreitzer; Wanggaard,Tittl; Allen; Armstrong; Dittrich; Donovan; Edming; Mursau; Ortiz-Velez; Rozar; Sapik; Spiros; Subeck; Tusler,S - Veto Sustained,An Act to create 301.32 (1m) of the statutes;  Relating to: the value of tangible personal property allowed in state correctional facilities.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb21
sb0022,2023,RS,Jacque,Ballweg; Carpenter,Murphy; Allen; Baldeh; Behnke; Bodden; Brandtjen; Edming; Gustafson; Mursau; Rettinger; Tittl; Tusler,S - Utilities and Technology,An Act to amend 77.54 (30) (a) 2. of the statutes;  Relating to: the sales and use tax exemption for electricity and natural gas sold for residential use. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb22
sb0023,2023,RS,Jacque and Spreitzer,,Krug; Allen; Cabrera; Gundrum; Mursau; Myers; Ortiz-Velez; Rettinger; Schraa; Subeck; Wichgers; Sinicki,S - Education,An Act to create 118.07 (6) of the statutes;  Relating to: posting the child abuse and neglect reporting hotline in school buildings. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb23
sb0024,2023,RS,Jacque,Ballweg; Cowles; Stroebel,Krug; Armstrong; Kitchens; Murphy; Mursau; Wichgers,A - Rules,"An Act to renumber 94.64 (1) (a); to amend 94.64 (3m) (a) (intro.), 94.64 (3m) (a) 1., 94.64 (9) (c), 94.65 (4) (a) (intro.) and 94.65 (4) (b); and to create 94.64 (1) (ag), 94.64 (1) (u), 94.64 (2) (f), 94.64 (3m) (a) 3., 94.65 (1) (bm), 94.65 (1) (fm) and 94.65 (5m) of the statutes;  Relating to: the distribution and labeling of fertilizers and soil or plant additives produced from manure. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb24
sb0025,2023,RS,Jacque and Marklein,,Binsfeld; Behnke; Brooks; Brandtjen; Donovan; Kitchens; Murphy; Mursau; Rettinger; Sapik; Wichgers,S - Judiciary and Public Safety,An Act to amend 943.20 (3) (a) and 943.20 (3) (bf) of the statutes;  Relating to: felony theft of property and providing a penalty.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb25
sb0026,2023,RS,Jacque,Cabral-Guevara; Felzkowski; Feyen; Marklein; Nass; Quinn; Stafsholt; Tomczyk,Bodden; Armstrong; Behnke; Binsfeld; Brandtjen; Brooks; Donovan; Edming; Gundrum; Gustafson; Kitchens; Murphy; Mursau; Penterman; Plumer; Rettinger; Schraa; Schutt; Tittl; Tusler; Wichgers,"S - Shared Revenue, Elections and Consumer Protection","An Act to amend 6.275 (1) (f), 6.32 (4), 6.33 (4), 6.33 (5) (a) 1., 6.36 (1) (d), 6.36 (1) (e), 6.47 (6), 6.47 (7) (b), 6.48 (1) (d), 6.48 (2) (b), 6.50 (2), 6.50 (2g), 6.50 (2r) (g), 6.50 (3), 6.50 (4), 6.50 (5), 6.50 (6), 6.50 (7), 6.50 (10), 6.56 (3), 6.56 (4) and 7.23 (1) (c) of the statutes;  Relating to: removing ineligible voters from the official voter registration list. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb26
sb0027,2023,RS,Wanggaard,Carpenter; Cabral-Guevara; Hesselbein; James; Spreitzer; Taylor; Tomczyk,Tittl; Wittke; J. Anderson; Bare; Baldeh; Cabrera; Clancy; Conley; Duchow; Gundrum; Haywood; Madison; Magnafici; Mursau; O'Connor; Ortiz-Velez; Riemer; Rozar; Sinicki; Spiros; Subeck; Summerfield; Tusler; Vining,S - Finance,"An Act to create 15.197 (20), 20.435 (1) (cd) and 255.45 of the statutes;  Relating to: spinal cord injury research grants and symposia and making an appropriation. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb27
sb0028,2023,RS,Marklein,Ballweg; Feyen; Jacque; Jagler; James; L. Johnson; Smith; Spreitzer,Born; Allen; Armstrong; Behnke; Brooks; Callahan; C. Anderson; Dittrich; Donovan; Edming; Emerson; Green; Gustafson; Joers; Kitchens; Krug; Macco; Magnafici; Moses; Murphy; Mursau; Nedweski; Novak; O'Connor; Penterman; Petryk; Plumer; Ratcliff; Rodriguez; Rozar; Schraa; Shankland; Snyder; Sortwell; Spiros; Steffen; Subeck; Summerfield; Tranel; Tusler; VanderMeer; Wittke; Zimmerman,S - Hold (Available for Scheduling),"An Act to renumber and amend 40.05 (2) (ar); to amend 40.02 (27), 40.02 (48) (b) 3., 40.02 (48) (c), 40.05 (1) (b) 1., 40.23 (3) (a), 40.28 (1) (a) 2. and 40.73 (1) (am) 3.; and to create 40.02 (17) (n), 40.02 (48) (am) 23., 40.02 (48) (b) 5., 40.05 (1) (a) 7., 40.05 (1) (b) 1a., 40.05 (2) (ap), 40.05 (2) (ar) 2., 40.23 (3) (c), 40.65 (4w), 59.52 (8m) and 111.70 (4) (bn) of the statutes;  Relating to: classifying county jailers as protective occupation participants under the Wisconsin Retirement System and the treatment of county jailers under the Municipal Employment Relations Act. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb28
sb0029,2023,RS,Wanggaard,Ballweg; Wimberger,Tusler; Rettinger; Mursau; Behnke; Cabrera,S - Enacted into law,"An Act to repeal 887.015 (2) (e); and to amend 887.015 (title), 887.015 (1), 887.015 (2) (b), 887.015 (2) (f), 887.015 (3) and 887.015 (6) of the statutes;  Relating to: the Uniform Unsworn Declarations Act.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb29
sb0030,2023,RS,Quinn and Tomczyk,,Magnafici; Callahan; Bodden; Brooks; Edming; Green; Maxey; Moses; Mursau; Sapik; Zimmerman,S - Hold (Available for Scheduling),An Act to amend 29.336 (2) (b) and 29.336 (2) (c) of the statutes;  Relating to: restrictions on baiting deer in counties based on chronic wasting disease or bovine tuberculosis.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb30
sb0031,2023,RS,James,,Tittl; Behnke; Edming; Green; Kitchens; Mursau; Steffen; VanderMeer,S - Universities and Revenue,"An Act to create 71.05 (6) (b) 57., 71.53 (2) (g) and 71.77 (9) of the statutes;  Relating to: creating an individual income tax deduction for certain income earned by an individual from the practice of psychiatry or from providing psychiatric or mental health services. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb31
sb0032,2023,RS,Jacque,Nass; Stroebel,Brooks; Knodl; Armstrong; Brandtjen; Gundrum; Murphy; O'Connor; Rettinger; Steffen,S - Government Operations,An Act to create 16.475 of the statutes;  Relating to: preparing an additional executive budget bill or bills according to generally accepted accounting principles. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb32
sb0033,2023,RS,Stroebel,Cabral-Guevara; Felzkowski; Feyen; Nass; Quinn; Spreitzer,Sortwell; Schraa; Allen; Armstrong; Behnke; Bodden; Brooks; Gustafson; Moses; Murphy; Mursau; Penterman; Petersen; Rettinger; Tittl; Tusler,S - Hold (Available for Scheduling),An Act to create 77.54 (70) of the statutes;  Relating to: a sales and use tax exemption for precious metal bullion. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb33
sb0034,2023,RS,James,Cowles; Felzkowski; Marklein; Taylor,Mursau; Edming; Andraca; Behnke; Donovan; Kitchens; Knodl; Magnafici; Maxey; Ohnstad; Rozar; Sinicki; Spiros; Subeck; Tusler,S - Enacted into law,An Act to amend 29.197 (3) of the statutes;  Relating to: modifying the designation of a free fishing weekend in January.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb34
sb0035,2023,RS,James,Ballweg; Carpenter; Feyen; Wanggaard,Oldenburg; Pronschinske; Baldeh; Behnke; Donovan; Duchow; Gundrum; Moses; Murphy; Mursau; Sapik; Spiros; VanderMeer; Shankland,S - Enacted into law,An Act to create 341.08 (2) (aj) and 343.177 of the statutes;  Relating to: emergency contact records maintained by the Department of Transportation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb35
sb0036,2023,RS,Ballweg,Cowles; Marklein; Smith; Spreitzer; Taylor,Plumer; Dallman; C. Anderson; Armstrong; Kitchens; Mursau; Myers; Novak; Penterman; Rozar; Schutt,S - Enacted into law,"An Act to repeal 41.11 (5), 41.12 (3) and 41.24 (3); and to amend 41.11 (1) (h) of the statutes;  Relating to: modifying the Department of Tourism's reporting duties and repealing requirements to distribute cheese, submit a financial statement, and use famous residents in marketing.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb36
sb0037,2023,RS,James,Ballweg; Cowles; Quinn; Spreitzer; Taylor,Steffen; Allen; Armstrong; Brooks; Cabrera; Donovan; Green; Gundrum; Gustafson; Kitchens; Knodl; Macco; Moses; Murphy; Mursau; Novak; O'Connor; Penterman; Rettinger; Subeck; Tittl; Tusler,S - Hold (Available for Scheduling),"An Act to consolidate, renumber and amend 165.775 (4) (intro.) and (b); to amend 165.775 (3) (b) and 165.775 (4) (a); and to create 165.775 (4) (b) 2. and 3. of the statutes;  Relating to: a time limit for processing sexual assault kits. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb37
sb0038,2023,RS,Cabral-Guevara,Wimberger; Roys; Felzkowski; James; L. Johnson; Larson; Spreitzer; Taylor; Wanggaard; Wirch,Steffen; Tittl; Goyke; C. Anderson; Andraca; Armstrong; Baldeh; Bare; Billings; Brooks; Cabrera; Clancy; Conley; Considine; Donovan; Doyle; Drake; Edming; Emerson; Gundrum; Gustafson; Haywood; Hong; Joers; Kitchens; Krug; Macco; Madison; McGuire; Moore Omokunde; Moses; Mursau; Myers; Novak; O'Connor; Ohnstad; Ortiz-Velez; Ratcliff; Riemer; Rozar; Schmidt; Schraa; Shankland; Shelton; Sinicki; Snodgrass; Snyder; Sortwell; Stubbs; Subeck; Vining; Zimmerman,S - Judiciary and Public Safety,"An Act to renumber 111.335 (3) (a); to renumber and amend 973.015 (1m) (a) 1.; to amend 111.335 (4) (b), 111.335 (4) (c) 1. (intro.), 111.335 (4) (e), 111.335 (4) (f) 1., 950.04 (1v) (g), 973.015 (1m) (a) 3. a., 973.015 (1m) (b) and 973.25 (1) (a); and to create 111.335 (3) (ag), 111.335 (3) (g), 973.015 (1b), 973.015 (1m) (a) 1. a. and b., 973.015 (1m) (a) 3. c., cg., cr. and d. and 4., 973.015 (1m) (c) and 973.015 (4) of the statutes;  Relating to: expungement of records of certain crimes and discrimination based on expunged conviction. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb38
